S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
1,China,2019,Phishing,Education,"$80,530,000","773,169",Hacker Group,Unpatched Software,VPN,63
2,China,2019,Ransomware,Retail,"$62,190,000","295,961",Hacker Group,Unpatched Software,Firewall,71
3,India,2017,Man in the Middle,IT,"$38,650,000","605,895",Hacker Group,Weak Passwords,VPN,20
4,UK,2024,Ransomware,Communications,"$41,440,000","659,320",Nation-state,Social Engineering,AI-based Detection,7
5,Germany,2018,Man in the Middle,IT,"$74,410,000","810,682",Insider,Social Engineering,VPN,68
6,Germany,2017,Man in the Middle,Retail,"$98,240,000","285,201",Unknown,Social Engineering,Antivirus,25
7,Germany,2016,DDoS,Communications,"$33,260,000","431,262",Insider,Unpatched Software,VPN,34
8,France,2018,SQL Injection,Government,"$59,230,000","909,991",Unknown,Social Engineering,Antivirus,66
9,India,2016,Man in the Middle,Banking,"$16,880,000","698,249",Unknown,Social Engineering,VPN,47
10,UK,2023,DDoS,Healthcare,"$69,140,000","685,927",Hacker Group,Unpatched Software,Firewall,58
11,China,2019,Phishing,Communications,"$88,670,000","493,675",Unknown,Zero-day,VPN,29
12,China,2016,SQL Injection,Healthcare,"$38,810,000","920,768",Hacker Group,Unpatched Software,AI-based Detection,27
13,India,2019,Ransomware,Education,"$30,560,000","583,204",Insider,Zero-day,Firewall,37
14,France,2023,DDoS,Healthcare,"$58,370,000","599,797",Nation-state,Unpatched Software,AI-based Detection,35
15,France,2024,DDoS,IT,"$48,010,000","922,258",Unknown,Social Engineering,Encryption,64
16,Australia,2022,Phishing,Banking,"$64,310,000","120,789",Nation-state,Zero-day,Encryption,36
17,Russia,2017,Man in the Middle,Healthcare,"$13,040,000","850,158",Hacker Group,Unpatched Software,AI-based Detection,67
18,India,2015,DDoS,IT,"$93,140,000","805,278",Insider,Social Engineering,Encryption,56
19,UK,2019,Malware,Communications,"$14,010,000","578,443",Insider,Social Engineering,Firewall,28
20,India,2016,DDoS,IT,"$36,450,000","261,808",Nation-state,Social Engineering,AI-based Detection,6
21,Brazil,2015,Ransomware,Retail,"$49,550,000","920,172",Hacker Group,Weak Passwords,Antivirus,43
22,France,2023,Ransomware,Education,"$17,720,000","261,661",Insider,Social Engineering,VPN,11
23,India,2017,DDoS,Government,"$76,710,000","246,205",Nation-state,Unpatched Software,Firewall,30
24,Japan,2022,Phishing,Communications,"$20,420,000","186,148",Nation-state,Weak Passwords,Antivirus,32
25,Brazil,2023,DDoS,Communications,"$51,840,000","699,007",Hacker Group,Social Engineering,VPN,30
26,China,2021,Phishing,Retail,"$51,060,000","628,562",Insider,Zero-day,AI-based Detection,52
27,Japan,2022,Malware,Education,"$53,040,000","570,494",Nation-state,Unpatched Software,VPN,53
28,Japan,2022,Ransomware,Banking,"$26,170,000","937,653",Insider,Unpatched Software,Encryption,24
29,France,2020,Malware,IT,"$87,320,000","599,757",Unknown,Social Engineering,Antivirus,9
30,Australia,2015,DDoS,Government,"$82,700,000","904,805",Hacker Group,Zero-day,Encryption,61
31,UK,2022,SQL Injection,Education,"$66,240,000","678,876",Hacker Group,Social Engineering,AI-based Detection,11
32,France,2020,Malware,Communications,"$18,380,000","246,900",Hacker Group,Zero-day,AI-based Detection,34
33,India,2015,SQL Injection,IT,"$42,990,000","85,255",Unknown,Unpatched Software,Encryption,61
34,Japan,2022,Phishing,Banking,"$98,470,000","972,469",Nation-state,Zero-day,Antivirus,21
35,Brazil,2023,Phishing,Healthcare,"$14,510,000","113,777",Nation-state,Weak Passwords,VPN,27
36,Brazil,2020,Phishing,Banking,"$17,750,000","739,540",Hacker Group,Zero-day,Encryption,31
37,China,2020,Man in the Middle,Education,"$19,810,000","722,788",Nation-state,Zero-day,Firewall,70
38,Japan,2021,SQL Injection,Retail,"$82,520,000","214,372",Insider,Unpatched Software,Encryption,12
39,USA,2022,DDoS,Retail,"$32,530,000","235,314",Insider,Weak Passwords,AI-based Detection,62
40,Brazil,2016,DDoS,Education,"$96,980,000","140,812",Nation-state,Unpatched Software,VPN,71
41,Russia,2015,DDoS,Communications,"$96,390,000","238,356",Unknown,Zero-day,AI-based Detection,3
42,India,2021,SQL Injection,IT,"$98,090,000","826,976",Nation-state,Zero-day,VPN,57
43,UK,2019,Man in the Middle,Retail,"$39,770,000","757,694",Nation-state,Unpatched Software,Encryption,69
44,USA,2017,DDoS,IT,"$74,120,000","403,108",Hacker Group,Zero-day,VPN,64
45,Australia,2020,DDoS,Banking,"$92,950,000","942,890",Insider,Weak Passwords,Antivirus,19
46,France,2022,Malware,Healthcare,"$20,330,000","794,906",Unknown,Weak Passwords,AI-based Detection,36
47,Australia,2016,SQL Injection,Government,"$27,330,000","481,293",Hacker Group,Unpatched Software,Antivirus,65
48,India,2016,DDoS,Education,"$21,010,000","602,692",Hacker Group,Unpatched Software,VPN,29
49,UK,2018,Man in the Middle,Retail,"$13,660,000","455,529",Hacker Group,Zero-day,Firewall,40
50,Japan,2017,Phishing,Communications,"$75,840,000","383,395",Hacker Group,Zero-day,VPN,31
51,USA,2023,DDoS,Retail,"$59,690,000","113,612",Hacker Group,Zero-day,VPN,70
52,Australia,2019,Malware,Government,"$21,720,000","984,411",Insider,Unpatched Software,Antivirus,17
53,UK,2015,Phishing,IT,"$85,580,000","17,229",Hacker Group,Weak Passwords,AI-based Detection,30
54,France,2018,Phishing,Healthcare,"$75,110,000","581,303",Insider,Social Engineering,Encryption,51
55,India,2019,Man in the Middle,Education,"$10,800,000","799,474",Nation-state,Zero-day,AI-based Detection,23
56,India,2020,DDoS,Banking,"$86,270,000","898,655",Nation-state,Unpatched Software,AI-based Detection,10
57,UK,2021,Malware,Healthcare,"$67,100,000","698,852",Unknown,Weak Passwords,Antivirus,57
58,India,2018,DDoS,Healthcare,"$76,430,000","304,162",Hacker Group,Unpatched Software,Firewall,56
59,Brazil,2015,Phishing,Banking,"$43,400,000","191,625",Hacker Group,Social Engineering,VPN,65
60,Australia,2024,Phishing,Education,"$93,320,000","93,185",Unknown,Unpatched Software,VPN,14
61,India,2019,Phishing,Healthcare,"$35,600,000","40,718",Nation-state,Zero-day,VPN,24
62,China,2015,Phishing,Government,"$42,730,000","310,574",Nation-state,Zero-day,Firewall,65
63,India,2024,DDoS,Education,"$73,370,000","475,719",Nation-state,Social Engineering,Firewall,52
64,UK,2018,Malware,Retail,"$73,180,000","404,060",Unknown,Weak Passwords,Antivirus,32
65,China,2024,Malware,Education,"$72,350,000","132,726",Hacker Group,Zero-day,Firewall,55
66,UK,2016,DDoS,Banking,"$87,680,000","336,376",Nation-state,Social Engineering,Firewall,11
67,Australia,2022,Malware,Healthcare,"$67,160,000","566,437",Unknown,Weak Passwords,Encryption,63
68,Russia,2017,Man in the Middle,Education,"$83,430,000","313,631",Nation-state,Weak Passwords,Antivirus,16
69,France,2016,DDoS,Banking,"$28,660,000","996,004",Unknown,Zero-day,VPN,28
70,China,2021,Phishing,Healthcare,"$55,040,000","871,600",Insider,Unpatched Software,Firewall,29
71,Brazil,2015,DDoS,IT,"$43,510,000","940,656",Unknown,Weak Passwords,AI-based Detection,41
72,USA,2015,Ransomware,Communications,"$20,730,000","297,209",Nation-state,Social Engineering,Firewall,66
73,UK,2019,Phishing,IT,"$78,190,000","28,321",Insider,Unpatched Software,Antivirus,63
74,Brazil,2022,Phishing,Communications,"$29,020,000","456,783",Nation-state,Zero-day,Encryption,10
75,Germany,2018,Ransomware,Banking,"$87,560,000","933,028",Nation-state,Unpatched Software,VPN,25
76,Australia,2023,Phishing,Communications,"$24,650,000","221,512",Nation-state,Zero-day,AI-based Detection,56
77,France,2017,Phishing,Banking,"$17,880,000","16,585",Hacker Group,Unpatched Software,Encryption,12
78,USA,2022,Ransomware,Education,"$21,010,000","787,752",Nation-state,Weak Passwords,Antivirus,9
79,Russia,2022,SQL Injection,Banking,"$60,250,000","662,517",Unknown,Social Engineering,Firewall,40
80,Brazil,2018,Malware,Education,"$6,630,000","274,509",Hacker Group,Zero-day,Encryption,20
81,France,2024,Phishing,Government,"$5,800,000","508,649",Hacker Group,Unpatched Software,Firewall,66
82,Brazil,2021,DDoS,IT,"$70,260,000","740,257",Unknown,Weak Passwords,Encryption,70
83,Australia,2024,Malware,Healthcare,"$62,080,000","969,504",Hacker Group,Social Engineering,AI-based Detection,5
84,Germany,2016,Man in the Middle,Healthcare,"$90,200,000","779,494",Nation-state,Social Engineering,AI-based Detection,54
85,Japan,2019,Malware,Banking,"$44,170,000","605,166",Insider,Weak Passwords,Encryption,27
86,France,2023,Malware,Government,"$55,180,000","274,946",Insider,Zero-day,Encryption,66
87,Japan,2019,Man in the Middle,Banking,"$41,320,000","645,097",Nation-state,Zero-day,Firewall,36
88,UK,2015,DDoS,Communications,"$32,920,000","157,678",Nation-state,Unpatched Software,Antivirus,68
89,Brazil,2022,DDoS,Retail,"$15,160,000","157,034",Nation-state,Social Engineering,AI-based Detection,69
90,India,2020,SQL Injection,Education,"$62,500,000","550,656",Nation-state,Weak Passwords,Encryption,4
